employeeId,firstName,lastName,gender,hireDate,birthDate
300099,Carla,Pérez,M,2022-02-11,1988-12-21
300100,Javier,Suárez,M,2016-10-25,1981-12-26
300101,María,Moreno,F,2023-04-11,1978-10-18
300102,Carla,Pérez,F,2022-05-12,1999-04-05
300103,Andrés,Fernández,M,2020-02-22,1986-09-03
300104,Laura,Torres,F,2016-08-30,1997-12-05
300105,Laura,Ruiz,F,2020-09-19,1995-11-22
300106,Lucía,Gómez,M,2015-05-10,1985-04-01
300107,Lucía,Martínez,M,2015-12-19,1984-08-08
300108,Carlos,Rodríguez,M,2015-11-11,1986-07-16
300109,David,Ruiz,M,2016-04-22,1999-11-06
300110,Andrés,Torres,M,2016-06-10,1978-08-06
300111,Laura,Torres,F,2016-11-23,1991-04-18
300112,Lucía,Torres,M,2020-11-07,1978-01-07
300113,Javier,Torres,M,2022-11-05,1978-08-12
300114,María,Suárez,F,2015-06-04,1979-02-12
300115,Andrés,López,M,2019-12-13,1996-04-17
300116,Carlos,Pérez,M,2021-07-14,1985-06-30
300117,María,Rodríguez,F,2016-08-11,1979-03-13
300118,Carla,Rodríguez,F,2016-03-27,1999-08-20
300119,Ana,Suárez,F,2021-12-20,1986-10-03
300120,Andrés,Fernández,F,2023-01-06,1993-12-12
300121,Carla,Martínez,F,2020-02-20,1980-07-09
300122,David,Fernández,M,2015-01-02,1984-09-04
300123,Juan,Martínez,F,2015-06-15,1996-03-19
300124,Lucía,Fernández,F,2015-04-21,1975-06-14
