emp_no,first_name,last_name,gender,hire_date,birth_date
10527,Uma,Lee,M,1997-03-14,1965-12-23
10528,Paula,Gonzalez,F,1997-11-08,1949-07-07
10529,Charlie,Gonzalez,M,1987-03-28,1963-04-07
10530,Leo,Hernandez,M,1991-01-28,1967-09-16
10531,Jack,Hernandez,F,1992-09-08,1959-03-31
10532,Bob,Miller,F,1988-04-13,1949-06-14
10533,Grace,Johnson,M,1987-04-13,1984-06-25
10534,Jack,Moore,F,1991-05-29,1989-07-11
10535,Victor,Moore,F,1997-07-26,1977-01-15
10536,Karen,Taylor,M,1987-09-01,1951-06-12
10537,Steve,Sanchez,M,1988-12-10,1942-06-16
10538,Xander,Garcia,M,1992-02-19,1978-04-21
10539,Wendy,Thompson,F,1996-12-30,1943-01-11
10540,John,Hernandez,F,1997-02-06,1954-07-16
10541,Ivy,Robinson,M,1995-01-21,1942-09-02
10542,Diana,Ramirez,F,1999-03-30,1948-12-13
10543,Grace,Martin,M,1996-06-17,1947-04-18
10544,Xander,Smith,F,1994-06-01,1956-03-08
10545,Zane,Jones,F,1993-12-05,1972-09-28
10546,Frank,Williams,F,1996-07-30,1948-09-27
10547,Charlie,Hernandez,M,1998-12-18,1953-07-17
10548,Uma,Lee,M,1997-02-10,1955-10-05
10549,Bob,Sanchez,M,1998-07-04,1964-06-17
10550,Emma,Ramirez,M,1994-07-31,1974-12-19
